ID,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net ,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
434,Ankara,Çankaya,Mebusevleri,5934-3349,10-04-2023,2,90,Yüksek Giriş,40,Kombi,2,,1,,,Boş,150,"Güney, Batı","8,000",,Evet,"8,000",,,,,
435,Ankara,Çankaya,Çankaya,2424-2496,09-04-2023,5,208,2,40,Merkezi,4,Eşyalı Değil,1,Betonarme,İkinci El,Boş,"1,000",,"25,000",Doğalgaz,Evet,"15,500",,,,,
436,Ankara,Çankaya,Ayrancı,4181-735,11-04-2023,4,120,En Üst Kat,50,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,350,"Güney, Doğu","20,000",Doğalgaz,Evet,"15,500",,,,,
437,Ankara,Çankaya,İlkbahar,121733-1001,07-04-2023,3,178,12,7,Merkezi (Pay Ölçer),31,Eşyalı Değil,2,Betonarme,İkinci El,Boş,"1,850","Güney, Doğu","35,000",Doğalgaz,Evet,"35,000",Sinpaş Altın Oran Konutları,,,,
438,Ankara,Çankaya,Birlik,69567-1290,07-04-2023,5,175,2,23,Kombi,3,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200,"Güney, Doğu, Batı","13,000",Doğalgaz,Evet,"13,000",,,,,
439,Ankara,Keçiören,19 Mayıs,1955-7136,09-04-2023,4,110,Giriş Katı,25,Kombi,2,Eşyalı,1,Betonarme,İkinci El,Boş,50,"Kuzey, Batı",,Doğalgaz,Evet,"7,500",,,,,
440,Ankara,Çankaya,İlkbahar,10249-3867,09-04-2023,5,300,20,10,Merkezi (Pay Ölçer),30,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,"Güney, Doğu",,Doğalgaz,Evet,"22,000",Evet (Site Adı Belirtilmemiş),,,,
441,Ankara,Etimesgut,Yeni Bağlıca,8316-3686,08-04-2023,3,112,5,10,Merkezi (Pay Ölçer),13,,2,Betonarme,,Boş,450,"Güney, Batı","12,500",Doğalgaz,Evet,"12,500",Koru Bağlıca Evleri,,,,
442,Ankara,Çankaya,Naci Çakır,130826-574,08-04-2023,4,85,1,33,Kombi,3,Eşyalı,1,Betonarme,İkinci El,Boş,,"Kuzey, Doğu","30,000",Doğalgaz,Evet,"12,000",,,,,
443,Ankara,Çankaya,Aşıkpaşa,135839-6,10-04-2023,4,135,2,15,Kombi,4,Eşyalı,1,Betonarme,İkinci El,Boş,75,,"12,500",Doğalgaz,Evet,"10,500",,,,,
