,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Yakıt Tipi,Yetkili Ofis,Rent,Tapu Durumu,Takas,Kira Getirisi,Site İçerisinde
8913,Ankara,Çankaya,Birlik,8316-3766,10-04-2023,3 + 1,140 m2,1. Kat,26 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,150 TL,"Güney, Doğu",Doğalgaz,Evet,2.700.000 TL,Kat Mülkiyeti,,,
8914,Ankara,Çankaya,Fakülteler,35345-2815,11-04-2023,4 + 1,175 m2,Teras Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,,,Doğalgaz,Evet,4.150.000 TL,,Hayır,,
8915,Ankara,Çankaya,Ayrancı,8315-12282,07-04-2023,2 + 1,100 m2,Kot 1,20 Yaşında,Merkezi,34 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,2.572 TL,"Güney, Batı",Doğalgaz,Evet,3.400.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,Çankaya Konut Kuleleri
8916,Ankara,Çankaya,Bayraktar,58419-2940,11-04-2023,3 + 1,180 m2,1. Kat,27 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,1.000 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,2.600.000 TL,Kat Mülkiyeti,Hayır,7.500 TL,
8917,Ankara,Etimesgut,Altay,5182-220,24-03-2023,3 + 1,115 m2,10. Kat,30 Yaşında,Merkezi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,450 TL,"Kuzey, Batı",Doğalgaz,Evet,1.850.000 TL,,Hayır,1.750 TL,
8918,Ankara,Çankaya,Maltepe,7655-1031,09-04-2023,3 + 1,100 m2,Yüksek Giriş,30 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,480 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,2.200.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
8919,Ankara,Çankaya,Akpınar,81344-6,20-03-2023,1 + 1,60 m2,Ara Kat,Sıfır Bina,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,300 TL,Kuzey,Doğalgaz,Evet,1.450.000 TL,Kat İrtifakı,Hayır,8.000 TL,
8920,Ankara,Keçiören,Aşağı Eğlence,40508-1038,08-04-2023,3 + 1,140 m2,2. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracılı,50 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,3.550.000 TL,Kat Mülkiyeti,Hayır,12.000 TL,
8921,Ankara,Gölbaşı,İncek,5665-344,18-03-2023,4 + 1,345 m2,,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,,"Kuzey, Güney, Batı",Doğalgaz,Evet,7.475.000 TL,Kat İrtifakı,Hayır,,
8922,Ankara,Etimesgut,Elvan,102781-636,04-04-2023,3 + 1,120 m2,Giriş Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,"Güney, Batı",Doğalgaz,Evet,2.000.000 TL,Kat İrtifakı,Hayır,5.000 TL,
