,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Kullanım Durumu,Takas,Cephe,Rent,Tapu Durumu,Yapı Tipi,Yapının Durumu,Aidat,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Site İçerisinde
409,Ankara,Etimesgut,Yeni Bağlıca,12890-5638,13-04-2023,4 + 1,243 m2,12. Kat,4 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,3,Mülk Sahibi,Hayır,"Güney, Doğu, Batı",5.650.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,1.000 TL,13.500 TL,Doğalgaz,Evet,
410,Ankara,Etimesgut,Elvan,136480-1,13-04-2023,3 + 1,135 m2,Ara Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Boş,Hayır,"Güney, Doğu, Batı",2.449.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,,,Doğalgaz,Evet,
411,Ankara,Pursaklar,Merkez,20040-159,13-04-2023,3 + 1,130 m2,Ara Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Kuzey, Doğu, Batı",1.790.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
412,Ankara,Yenimahalle,Ata,67191-3501,13-04-2023,3 + 1,155 m2,2. Kat,7 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Kiracılı,Hayır,,2.695.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,450 TL,,Doğalgaz,Evet,
413,Ankara,Mamak,Boğaziçi,128870-352,13-04-2023,3 + 1,110 m2,4. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Güney, Doğu",1.125.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
414,Ankara,Çankaya,Maltepe,7655-1467,13-04-2023,2 + 1,120 m2,4. Kat,30 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Hayır,Güney,2.000.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,1.000 TL,7.000 TL,Doğalgaz,Evet,
415,Ankara,Mamak,General Zeki Doğan,120327-319,13-04-2023,3 + 1,120 m2,2. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,"Güney, Batı",1.455.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
416,Ankara,Çankaya,Mustafa Kemal,31920-4066,13-04-2023,4 + 1,190 m2,4. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Kiracılı,Evet,"Güney, Doğu",4.625.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,200 TL,14.000 TL,,Evet,
417,Ankara,Mamak,Durali Alıç,90463-1237,13-04-2023,3 + 1,165 m2,5. Kat,1 Yaşında,Kombi,12 Katlı,Uygun,Eşyalı Değil,2,Boş,Evet,"Güney, Doğu, Batı",2.130.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,50 TL,6.000 TL,Doğalgaz,Evet,
418,Ankara,Çankaya,Aşağı Öveçler,8053-2568,13-04-2023,3 + 1,154 m2,4. Kat,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Kuzey, Güney, Doğu",2.350.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,150 TL,2.480 TL,Doğalgaz,Evet,
419,Ankara,Çankaya,Alacaatlı,67934-4048,13-04-2023,6 + 1,450 m2,,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,5,Boş,,,30.000.000 TL,,,,,,,,
420,Ankara,Çankaya,Çayyolu,56708-928,13-04-2023,10 + 2,400 m2,,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Mülk Sahibi,Hayır,"Kuzey, Güney, Doğu, Batı",7.750.000 TL,,Betonarme,İkinci El,,,Doğalgaz,Evet,
421,Ankara,Çankaya,Keklik Pınarı,25807-2527,13-04-2023,3 + 1,190 m2,3. Kat,15 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Hayır,"Güney, Doğu",3.150.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,600 TL,,Doğalgaz,Evet,
422,Ankara,Gölbaşı,İncek,42956-2137,13-04-2023,2 + 1,90 m2,Ara Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Kuzey, Güney, Doğu, Batı",2.600.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,,7.500 TL,Doğalgaz,,
423,Ankara,Altındağ,Aydınlıkevler,28040-926,13-04-2023,1 + 1,70 m2,1. Kat,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,Güney,1.250.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,,
424,Ankara,Sincan,Pınarbaşı,126490-899,13-04-2023,3 + 1,115 m2,2. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,,1,Mülk Sahibi,Evet,"Güney, Doğu",1.460.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,50 TL,5.000 TL,Doğalgaz,Evet,
425,Ankara,Çankaya,Bahçelievler,3897-1692,13-04-2023,2 + 1,90 m2,Bahçe Katı,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Doğu, Batı",1.950.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,5.000 TL,Doğalgaz,Evet,
426,Ankara,Çankaya,Nasuh Akar,4932-2843,13-04-2023,3 + 1,130 m2,2. Kat,10 Yaşında,Merkezi,11 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Güney, Doğu, Batı",3.300.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,1.400 TL,10.000 TL,Doğalgaz,Evet,
427,Ankara,Çankaya,İleri,4110-2479,13-04-2023,2 + 1,90 m2,Kot 2,30 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,Doğu,840.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,50 TL,2.500 TL,Doğalgaz,Evet,
428,Ankara,Mamak,Hürel,122845-1810,13-04-2023,3 + 1,100 m2,Yüksek Giriş,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Güney, Doğu",925.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
429,Ankara,Çankaya,Harbiye,69567-1248,13-04-2023,2 + 1,110 m2,Kot 1,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Kiracılı,Hayır,"Doğu, Batı",1.340.000 TL,Kat Mülkiyeti,,İkinci El,50 TL,4.500 TL,Doğalgaz,Evet,
430,Ankara,Çankaya,Yukarı Bahçelievler,25300-2113,13-04-2023,5 + 1,200 m2,Yüksek Giriş,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Mülk Sahibi,Hayır,"Güney, Doğu, Batı",4.250.000 TL,,Betonarme,İkinci El,230 TL,15.000 TL,Doğalgaz,Evet,
431,Ankara,Yenimahalle,Demetlale,77383-679,13-04-2023,3 + 1,120 m2,3. Kat,40 Yaşında,Kombi,6 Katlı,Uygun,,1,Kiracılı,,,1.000.000 TL,Kat Mülkiyeti,,,,,,Evet,
432,Ankara,Keçiören,Karakaya,101486-1989,13-04-2023,2 + 1,120 m2,3. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Evet,"Güney, Doğu, Batı",1.100.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,6.000 TL,Doğalgaz,Evet,
433,Ankara,Polatlı,İstiklal,4960-881,13-04-2023,3 + 1,164 m2,3. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,,,"Kuzey, Güney, Doğu",1.400.000 TL,Kat İrtifakı,Betonarme,Yapım Aşamasında,,3.500 TL,Doğalgaz,,
434,Ankara,Etimesgut,Altay,32249-5732,13-04-2023,3 + 1,110 m2,2. Kat,25 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Doğu, Batı",2.150.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,500 TL,,Doğalgaz,Evet,
435,Ankara,Çankaya,Maltepe,126667-72,13-04-2023,1 + 1,70 m2,Zemin,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Boş,Evet,Doğu,1.950.000 TL,Kat İrtifakı,Betonarme,Sıfır,,10.000 TL,Doğalgaz,Evet,
436,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı,46377-7616,13-04-2023,3 + 1,120 m2,Yüksek Giriş,25 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,Doğu,2.575.000 TL,,Betonarme,İkinci El,1.300 TL,8.000 TL,Doğalgaz,Evet,Vakıflar Nergis Sitesi
437,Ankara,Çankaya,Konutkent,5554-4613,13-04-2023,5 + 1,350 m2,,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Boş,Hayır,"Güney, Doğu, Batı",5.700.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,500 TL,50.000 TL,Doğalgaz,Evet,
438,Ankara,Pursaklar,Merkez,4480-23479,13-04-2023,4 + 1,185 m2,4. Kat,5 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Boş,Hayır,,2.600.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,,
439,Ankara,Sincan,Tandoğan,135187-81,13-04-2023,3 + 1,125 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Güney, Batı",1.129.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,50 TL,5.000 TL,Doğalgaz,Evet,
