,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Tapu Durumu,Site İçerisinde,Yakıt Tipi,Yetkili Ofis,Metro İstasyonu,Durak (Otobüs),Durak (Minibüs),Otogar,Hastane,Acil Servis,Aile Sağlığı Merkezi,Sağlık Kurumları/Diğer,Üniversite,Üniversite Kampüs,İlkokul,Lise,Zincir Marketler,Bakkal/Market,Alışveriş Merkezi,Şarküteri,Rent,Kullanım Durumu,Takas,Kira Getirisi,Aidat,Cephe,Havaalanı,Gar,Poliklinik,Yüksek Okul/Akademi,Ortaokul,Gıda Satış Noktaları,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Tren İstasyonu/Şehiriçi,Tren İstasyonu/Şehirlerarası,Veteriner,Kreş/Gündüz Bakımevi
194,Ankara,Sincan,Tandoğan,129003-292,10-05-2023,2 + 1,110 m2,Bahçe Katı,24 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Kat Mülkiyeti,,Doğalgaz,Evet,"3,1 km",160 m,"1,8 km",,"1,7 km","1,7 km",92 m,"1,6 km","10,8 km","2,2 km",310 m,55 m,168 m,7 m,2 km,135 m,689.000 TL,Kiracılı,Hayır,,30 TL,"Güney, Batı",,"5,7 km",,,,,,,,,,,
195,Ankara,Altındağ,Karapürçek,133292-209,10-05-2023,4 + 1,150 m2,2. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"7,5 km",338 m,"2,1 km",,"7,2 km","7,2 km",995 m,988 m,"9,8 km","8,7 km",129 m,879 m,146 m,169 m,"6,7 km",308 m,1.550.000 TL,Mülk Sahibi,Hayır,4.000 TL,50 TL,"Güney, Batı","15,2 km",,,,,,,,,,,,
196,Ankara,Çankaya,Ata,25058-814,10-05-2023,4 + 1,180 m2,4. Kat,10 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,,Kat Mülkiyeti,,Doğalgaz,Evet,"4,2 km",63 m,501 m,5 km,766 m,722 m,308 m,488 m,"2,7 km","6,7 km",173 m,570 m,22 m,165 m,"1,8 km",319 m,4.800.000 TL,Kiracılı,Hayır,15.000 TL,150 TL,Batı,,,,,,,,,,,,,
197,Ankara,Keçiören,Şenlik,121676-441,10-05-2023,3 + 1,120 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,,Doğalgaz,Evet,313 m,138 m,343 m,,533 m,521 m,410 m,827 m,"3,8 km",869 m,385 m,246 m,63 m,87 m,"1,5 km",98 m,1.630.000 TL,,Evet,8.000 TL,50 TL,"Güney, Doğu, Batı","16,6 km",,,,,,,,,,,,
198,Ankara,Sincan,Akşemsettin,136243-54,10-05-2023,3 + 1,143 m2,Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"2,1 km",190 m,418 m,"19,8 km",102 m,102 m,395 m,608 m,"8,8 km","4,1 km",121 m,352 m,25 m,45 m,"1,9 km",52 m,1.180.000 TL,Boş,Hayır,,,"Kuzey, Batı",,,,,,,,,,,,,
199,Ankara,Pursaklar,Mimar Sinan,5430-1815,10-05-2023,4 + 1,185 m2,1. Kat,2 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kat Mülkiyeti,,,Evet,"4,5 km",169 m,"1,5 km",,"1,5 km",874 m,863 m,863 m,7 km,5 km,426 m,306 m,524 m,168 m,"4,5 km",835 m,2.275.000 TL,Kiracılı,Hayır,,,,"12,6 km",,,,,,,,,,,,
200,Ankara,Keçiören,Yükseltepe,134928-60,10-05-2023,3 + 1,145 m2,Giriş Katı,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat İrtifakı,,Doğalgaz,Evet,"4,2 km",155 m,882 m,"5,6 km","3,6 km","3,6 km",444 m,"2,2 km","1,3 km","3,7 km",325 m,461 m,114 m,21 m,"2,1 km",221 m,1.550.000 TL,Kiracılı,Evet,7.000 TL,50 TL,,,,,,,,,,,,,,
201,Ankara,Polatlı,Fatih,99290-785,10-05-2023,6 + 1,240 m2,En Üst Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,,191 m,537 m,"1,9 km","2,3 km","2,3 km",587 m,,,,288 m,41 m,194 m,199 m,"3,1 km",89 m,1.395.000 TL,Kiracılı,Hayır,5.000 TL,70 TL,"Doğu, Batı",,5 km,"1,1 km","1,8 km",230 m,,,,,,,,
202,Ankara,Yenimahalle,Mehmet Akif Ersoy,0-40771628,10-05-2023,3 + 1,120 m2,9. Kat,21 Yaşında,Merkezi,15 Katlı,Uygun,Eşyalı Değil,1,,,Kat Mülkiyeti,Urankent Sitesi,,,,,,,,,,,,,,,,,,,2.590.000 TL,Mülk Sahibi,Hayır,,400 TL,"Güney, Batı",,,,,,,,,,,,,
203,Ankara,Çankaya,Konutkent,132621-202,10-05-2023,3 + 1,135 m2,3. Kat,30 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,Evet (Site Adı Belirtilmemiş),Doğalgaz,Evet,"2,2 km",101 m,"6,1 km","13,5 km",963 m,"2,4 km",1 km,"2,3 km","1,2 km","6,2 km",121 m,121 m,53 m,38 m,"1,9 km",970 m,4.450.000 TL,,Hayır,10.000 TL,700 TL,"Güney, Doğu",,,,,,,,,,,,,
204,Ankara,Mamak,Şahintepe,134574-170,10-05-2023,4 + 1,200 m2,7. Kat,6 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,3 km,258 m,"1,8 km",7 km,371 m,379 m,217 m,1 km,"4,2 km","3,2 km",189 m,507 m,244 m,89 m,"3,3 km",320 m,2.099.000 TL,Mülk Sahibi,Hayır,,,"Güney, Batı",,,,,,,,,,,,,
205,Ankara,Altındağ,Feridun Çelik,137033-54,10-05-2023,4 + 1,155 m2,Kot 1,4 Yaşında,Kombi,7 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,,"5,3 km",94 m,574 m,,"4,8 km","4,8 km",271 m,624 m,"7,4 km","6,7 km",488 m,506 m,77 m,56 m,"4,4 km",473 m,1.029.000 TL,Boş,Hayır,,,"Güney, Batı","16,5 km",,,,,,,,,,,,
206,Ankara,Sincan,Plevne,135187-102,10-05-2023,3 + 1,125 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"2,2 km",120 m,"1,1 km","18,9 km",1 km,998 m,403 m,393 m,"7,9 km","4,8 km",336 m,127 m,25 m,93 m,"2,1 km",75 m,1.290.000 TL,Boş,Hayır,7.000 TL,50 TL,"Güney, Doğu",,,,,,,,,,,,,
207,Ankara,Mamak,Mutlu,34109-4335,10-05-2023,3 + 1,135 m2,1. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,4 km",64 m,695 m,"7,6 km","1,1 km","1,1 km",559 m,2 km,"3,9 km","3,3 km",301 m,703 m,71 m,84 m,"3,3 km",480 m,1.860.000 TL,Mülk Sahibi,Hayır,,70 TL,Batı,,,,,,,,,,,,,
208,Ankara,Sincan,Plevne,136364-94,10-05-2023,2 + 1,110 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"2,1 km",266 m,"1,4 km","18,6 km","1,2 km","1,2 km",87 m,536 m,"7,7 km","5,1 km",326 m,338 m,276 m,34 m,"1,8 km",385 m,1.235.000 TL,Mülk Sahibi,Hayır,7.000 TL,50 TL,"Güney, Doğu",,,,,,,,,,,,,
209,Ankara,Keçiören,Yayla,131107-417,10-05-2023,3 + 1,145 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,3 km,72 m,"1,1 km",,"1,7 km","1,7 km",310 m,"1,4 km",723 m,"2,3 km",372 m,588 m,141 m,16 m,"2,7 km",85 m,2.649.000 TL,Boş,Evet,10.000 TL,,"Güney, Doğu, Batı","19,6 km",,,,,,,,,,,,
210,Ankara,Sincan,Akşemsettin,132017-226,10-05-2023,3 + 1,125 m2,1. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"1,9 km",111 m,564 m,"19,8 km",259 m,245 m,228 m,615 m,"8,8 km","4,4 km",156 m,604 m,150 m,27 m,"2,2 km",52 m,1.930.000 TL,Boş,Hayır,,,Güney,,,,,,,,,,,,,
211,Ankara,Mamak,Kutlu,134545-99,10-05-2023,3 + 1,145 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat İrtifakı,,Doğalgaz,Evet,3 km,61 m,"1,1 km","7,1 km",671 m,662 m,104 m,"1,5 km","3,7 km",3 km,454 m,201 m,26 m,211 m,"3,7 km",40 m,2.290.000 TL,Boş,Evet,10.000 TL,100 TL,"Güney, Doğu",,,,,,,,,,,,,
212,Ankara,Etimesgut,Bağlıca,86972-1822,10-05-2023,3 + 1,230 m2,1. Kat,5 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,6 km",169 m,"6,3 km","14,4 km","3,2 km","4,8 km",806 m,210 m,"1,2 km","7,5 km",186 m,173 m,158 m,139 m,"2,7 km",215 m,3.990.000 TL,Mülk Sahibi,Evet,16.000 TL,,"Kuzey, Güney, Doğu",,,,,,,,,,,,,
213,Ankara,Çankaya,Huzur,14984-4017,10-05-2023,3 + 1,125 m2,3. Kat,30 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"4,8 km",102 m,467 m,"5,6 km",920 m,103 m,245 m,245 m,"2,2 km","7,2 km",760 m,293 m,63 m,77 m,"2,4 km",164 m,2.975.000 TL,Boş,Hayır,,1.250 TL,"Güney, Doğu",,,,,,,,,,,,,
214,Ankara,Etimesgut,İstasyon,132970-111,10-05-2023,3 + 1,125 m2,1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"4,4 km",85 m,"5,1 km","12,9 km",640 m,638 m,13 m,792 m,"2,2 km","7,8 km",295 m,371 m,151 m,26 m,476 m,322 m,2.389.000 TL,Mülk Sahibi,Evet,12.000 TL,100 TL,"Kuzey, Batı",,,,,,,,,,,,,
215,Ankara,Mamak,Akşemsettin,135518-205,10-05-2023,3 + 1,140 m2,1. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"5,3 km",64 m,"1,9 km","9,3 km","1,9 km","2,4 km",326 m,"1,7 km","6,2 km","5,4 km",385 m,"1,2 km",176 m,63 m,"1,3 km",475 m,1.399.000 TL,Kiracılı,Hayır,6.500 TL,50 TL,"Güney, Doğu",,,,,,,,,,,,,
216,Ankara,Yenimahalle,Mehmet Akif Ersoy,131752-111,10-05-2023,3 + 1,160 m2,6. Kat,8 Yaşında,Merkezi,11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat İrtifakı,,Doğalgaz,Evet,"1,1 km",133 m,"2,5 km","5,9 km",476 m,471 m,612 m,468 m,"1,2 km","4,5 km",301 m,303 m,89 m,123 m,363 m,646 m,4.275.000 TL,Kiracılı,Hayır,18.000 TL,800 TL,"Kuzey, Doğu",,,,,,,,,,,,,
217,Ankara,Keçiören,Atapark,136351-106,10-05-2023,3 + 1,135 m2,Ara Kat,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"1,6 km",47 m,"1,6 km",,811 m,682 m,201 m,716 m,"2,5 km","1,7 km",155 m,579 m,52 m,115 m,904 m,304 m,1.839.000 TL,Mülk Sahibi,Hayır,600 TL,100 TL,"Güney, Batı","17,3 km",,,,,,,,,,,,
218,Ankara,Etimesgut,Piyade,102968-2673,10-05-2023,3 + 1,120 m2,Bahçe Katı,15 Yaşında,Kat Kaloriferi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,4 km,129 m,"2,6 km","15,4 km",998 m,1 km,293 m,992 m,"4,6 km","7,4 km",219 m,421 m,185 m,7 m,"2,2 km",262 m,1.100.000 TL,Mülk Sahibi,Hayır,6.000 TL,50 TL,"Güney, Doğu",,,,,,,,,,,,,
219,Ankara,Pursaklar,Mimar Sinan,66315-1593,10-05-2023,4 + 1,165 m2,10. Kat,11 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"5,9 km",159 m,426 m,,502 m,498 m,503 m,"1,4 km","8,8 km","6,6 km",629 m,622 m,331 m,30 m,"6,1 km",368 m,2.895.000 TL,Kiracılı,Hayır,10.000 TL,,,"10,9 km",,,,,,,,,,,,
220,Ankara,Keçiören,Güzelyurt,0-40771741,10-05-2023,4 + 1,160 m2,5. Kat,5 Yaşında,Merkezi,13 Katlı,Uygun,,2,,,Kat Mülkiyeti,TOKİ Kuzey Ankara 14. Etap,,,"1,4 km",280 m,"1,3 km",,"1,1 km","1,1 km",412 m,"2,1 km","5,1 km","2,2 km",234 m,434 m,248 m,217 m,"2,4 km",469 m,1.750.000 TL,Mülk Sahibi,Hayır,,,Güney,"15,2 km",,,,,,,,,,,,
