,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
1228,Ankara,Gölbaşı,Karşıyaka,123154-197,25-03-2023,7 + 0,1.200 m2,Bahçe Katı,3 Yaşında,Yerden Isıtma,3 Katlı,,6,,,Boş,,"Kuzey, Güney, Doğu, Batı",,,,200.000 TL,,Uygun değil,,,
1229,Ankara,Çankaya,Beytepe,69052-4527,06-04-2023,4 + 1,190 m2,10. Kat,3 Yaşında,Merkezi (Pay Ölçer),37 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,2.500 TL,,,Doğalgaz,Evet,22.000 TL,,,,,
1230,Ankara,Gölbaşı,Tulumtaş,129272-275,13-03-2023,7 + 2,730 m2,,10 Yaşında,Kombi,3 Katlı,Eşyalı Değil,5,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,55.000 TL,,,,,
1231,Ankara,Çankaya,Beytepe,133272-114,28-03-2023,6 + 1,450 m2,21 ve üzeri,5 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Eşyalı Değil,4,,,Mülk Sahibi,4 TL,"Güney, Batı",,,,55.000 TL,Ametist Residences,,,,
1232,Ankara,Çankaya,Cevizlidere,3240-13465,09-04-2023,4 + 1,140 m2,Yüksek Giriş,10 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,150 TL,Güney,30.000 TL,Doğalgaz,Evet,13.750 TL,,,,,
1233,Ankara,Çankaya,Yıldızevler,52225-7689,03-04-2023,4 + 1,180 m2,3. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,,Boş,100 TL,"Güney, Doğu, Batı",28.000 TL,,,14.000 TL,,,,,
1234,Ankara,Altındağ,Örnek,96095-460,09-04-2023,3 + 1,130 m2,3. Kat,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,,İkinci El,Boş,30 TL,"Güney, Doğu",5.000 TL,Doğalgaz,Evet,4.500 TL,,,,,
1235,Ankara,Çankaya,Emek,32665-1253,08-04-2023,3 + 1,115 m2,3. Kat,35 Yaşında,Merkezi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,1.200 TL,Doğu,15.000 TL,Doğalgaz,,13.500 TL,,,,,
1236,Ankara,Çankaya,Güzeltepe,6171-6535,07-04-2023,4 + 1,235 m2,6. Kat,13 Yaşında,Merkezi,23 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,2.500 TL,,100.000 TL,Doğalgaz,,40.000 TL,,,,,
1237,Ankara,Çankaya,Kazım Özalp,17215-650,22-03-2023,2 + 1,120 m2,2. Kat,30 Yaşında,Merkezi,3 Katlı,Eşyalı,1,,,Boş,1.000 TL,"Güney, Batı",25.000 TL,,Evet,25.000 TL,,,,,
