,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Tapu Durumu,Site İçerisinde,Yakıt Tipi,Yetkili Ofis,Metro İstasyonu,Durak (Otobüs),Durak (Minibüs),Otogar,Hastane,Acil Servis,Aile Sağlığı Merkezi,Sağlık Kurumları/Diğer,Üniversite,Üniversite Kampüs,İlkokul,Lise,Zincir Marketler,Bakkal/Market,Alışveriş Merkezi,Şarküteri,Rent,Kullanım Durumu,Takas,Kira Getirisi,Aidat,Cephe,Havaalanı,Gar,Poliklinik,Yüksek Okul/Akademi,Ortaokul,Gıda Satış Noktaları,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Tren İstasyonu/Şehiriçi,Tren İstasyonu/Şehirlerarası,Veteriner,Kreş/Gündüz Bakımevi
141,Ankara,Çankaya,Yukarı Dikmen,2603-4336,25-04-2023,4 + 1,320 m2,2. Kat,15 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"7,1 km",181 m,"1,6 km","8,1 km",862 m,887 m,748 m,418 m,701 m,8 km,233 m,217 m,51 m,89 m,882 m,890 m,7.250.000 TL,Boş,Evet,,,"Güney, Doğu, Batı",,,,,,,,,,,,,
142,Ankara,Keçiören,Etlik,135949-48,06-05-2023,3 + 1,140 m2,Yüksek Giriş,15 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,,"2,7 km",47 m,"1,9 km","3,1 km","1,3 km","1,3 km",335 m,768 m,"1,3 km","1,1 km",280 m,84 m,75 m,141 m,"1,5 km",226 m,1.200.000 TL,Boş,,8.000 TL,50 TL,"Güney, Batı",,,,,,,,,,,,,
143,Ankara,Sincan,Mustafa Kemal,97141-10829,06-05-2023,3 + 1,150 m2,1. Kat,9 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"4,1 km",173 m,"7,4 km",,"3,7 km","6,4 km",338 m,"4,4 km","16,1 km","7,6 km",401 m,281 m,129 m,113 m,"1,4 km",208 m,1.590.000 TL,Kiracılı,Hayır,8.000 TL,50 TL,"Güney, Doğu",,"11,2 km",,,,,,,,,,,
144,Ankara,Keçiören,Etlik,134665-233,06-05-2023,3 + 1,130 m2,2. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,1 km",97 m,"1,3 km",3 km,923 m,923 m,327 m,847 m,"1,6 km","1,4 km",164 m,72 m,71 m,100 m,"1,8 km",57 m,1.349.000 TL,Boş,Hayır,10.000 TL,50 TL,"Güney, Doğu",,,,,,,,,,,,,
145,Ankara,Keçiören,Esertepe,134665-231,04-05-2023,4 + 1,170 m2,2. Kat,1 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"2,3 km",172 m,799 m,,"1,8 km","1,7 km",471 m,"1,6 km","1,1 km","2,4 km",125 m,267 m,99 m,85 m,"2,1 km",264 m,2.850.000 TL,Boş,Evet,15.000 TL,50 TL,"Güney, Doğu","18,8 km",,,,,,,,,,,,
146,Ankara,Pursaklar,Yunus Emre,20040-252,06-05-2023,3 + 1,155 m2,7. Kat,9 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,7 km",18 m,"2,2 km",,"2,2 km",547 m,332 m,903 m,"6,8 km","4,3 km",369 m,215 m,44 m,93 m,"3,9 km",164 m,2.389.000 TL,Boş,Hayır,,,"Kuzey, Batı",13 km,,,,,,,,,,,,
147,Ankara,Keçiören,Yükseltepe,5116-808,12-03-2023,6 + 1,300 m2,4. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"4,1 km",184 m,"1,4 km",,"3,2 km","3,2 km",487 m,"2,5 km",779 m,"3,4 km",420 m,368 m,158 m,175 m,"1,9 km",211 m,2.299.000 TL,Mülk Sahibi,Evet,8.000 TL,70 TL,"Güney, Doğu, Batı","19,8 km",,,,,,,,,,,,
148,Ankara,Gölbaşı,İncek,129424-745,06-05-2023,4 + 1,170 m2,3. Kat,1 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"9,1 km",80 m,"7,3 km","15,9 km","2,8 km","4,8 km",209 m,"7,2 km","2,4 km","3,4 km",165 m,642 m,136 m,231 m,"3,7 km","2,6 km",3.850.000 TL,Boş,Evet,12.000 TL,150 TL,"Güney, Doğu",,,,,,,,,,,,,
149,Ankara,Etimesgut,Topçu,14994-11264,05-05-2023,3 + 1,110 m2,Yüksek Giriş,15 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,Evet (Site Adı Belirtilmemiş),Doğalgaz,Evet,"3,4 km",18 m,1 km,"17,4 km","1,4 km",84 m,395 m,"1,1 km","6,5 km","5,5 km",258 m,50 m,193 m,141 m,"2,1 km",100 m,1.000.000 TL,Boş,Hayır,2.000 TL,50 TL,"Kuzey, Doğu, Batı",,,,,,,,,,,,,
150,Ankara,Gölbaşı,Hacılar,2490-1088,10-05-2023,8 + 4,600 m2,,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,6,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"14,5 km",278 m,"7,8 km","19,1 km",7 km,"7,2 km","5,8 km","7,3 km","6,1 km","7,2 km","1,1 km","3,7 km",4 km,333 m,"7,5 km",5 km,18.500.000 TL,Mülk Sahibi,Evet,60.000 TL,,,,,,,,,,,,,,,
