,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Site İçerisinde,Kira Getirisi,Yakıt Tipi,Rent,Yetkili Ofis,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Depozito
5679,Ankara,Etimesgut,Devlet,128217-517,05-04-2023,3 + 1,135 m2,21 ve üzeri,1 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,Kat Mülkiyeti,950 TL,Hayır,"Doğu, Batı",Referans Ankara,,,3.150.000 TL,,,,,
5680,Ankara,Çankaya,Harbiye,69567-1282,17-03-2023,2 + 1,85 m2,Kot 2,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,120 TL,Hayır,"Güney, Doğu",,7.000 TL,Doğalgaz,1.410.000 TL,Evet,,,,
5681,Ankara,Gölbaşı,Gökçehüyük,114529-770,26-03-2023,2 + 1,45 m2,,2 Yaşında,Soba,1 Katlı,Uygun değil,Eşyalı Değil,1,,,,,,Hayır,,gök bahçe,,,549.999 TL,Evet,,,,
5682,Ankara,Polatlı,Şentepe,52250-1028,15-03-2023,3 + 1,140 m2,En Üst Kat,15 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,"Kuzey, Güney, Batı",,3.000 TL,Doğalgaz,860.000 TL,Evet,,,,
5683,Ankara,Çankaya,Beytepe,2028-2136,14-03-2023,4 + 1,165 m2,Ara Kat,Sıfır Bina,Merkezi,17 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,,,,Hayır,,,,Doğalgaz,4.100.000 TL,Evet,,,,
5684,Ankara,Çankaya,Yıldızevler,13249-839,10-04-2023,2 + 1,1.751 m2,Yüksek Giriş,45 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,50 TL,Hayır,,,2.000 TL,Doğalgaz,1.600.000 TL,Evet,,,,
5685,Ankara,Etimesgut,Yukarıyurtçu,0-39718047,14-03-2023,3 + 1,176 m2,1. Kat,12 Yaşında,Merkezi,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,490 TL,Hayır,"Güney, Batı",,5.000 TL,Doğalgaz,2.250.000 TL,,,,,
5686,Ankara,Keçiören,Bademlik,70969-3550,07-04-2023,3 + 1,130 m2,3. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,,"Kuzey, Doğu, Batı",,,Doğalgaz,1.350.000 TL,,,,,
5687,Ankara,Sincan,Selçuklu,33371-5399,14-03-2023,3 + 1,135 m2,En Üst Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,50 TL,Hayır,"Güney, Doğu",,7.000 TL,Doğalgaz,1.195.000 TL,Evet,,,,
5688,Ankara,Çankaya,Kültür,52225-7579,10-04-2023,3 + 1,120 m2,2. Kat,21 Yaşında,Kombi,3 Katlı,Uygun değil,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,,,2.250.000 TL,,,,,
