,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Rent,Aidat,Site İçerisinde,Depozito
2170,Ankara,Çankaya,Eti,37695-5975,13-04-2023,5 + 1,360 m2,5. Kat,31 Yaşında,Klima,5 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,Evet,"Kuzey, Doğu",,,,6.750.000 TL,,,
2171,Ankara,Çankaya,Huzur,14777-4925,13-04-2023,3 + 1,105 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,,1,,,Kiracılı,,,"Güney, Batı",,Doğalgaz,Evet,1.550.000 TL,60 TL,,
2172,Ankara,Polatlı,Cumhuriyet,129186-346,10-04-2023,3 + 1,135 m2,En Üst Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,"Doğu, Batı",4.000 TL,Doğalgaz,Evet,695.000 TL,,,
2173,Ankara,Çankaya,Ayrancı,21161-2566,08-04-2023,2 + 1,90 m2,Kot 1,40 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Güney,,Doğalgaz,Evet,1.470.000 TL,1.000 TL,,
2174,Ankara,Gölbaşı,Taşpınar,45132-423,24-03-2023,1 + 1,60 m2,1. Kat,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat İrtifakı,Hayır,"Güney, Doğu, Batı",,,,1.400.000 TL,,,
2175,Ankara,Yenimahalle,Yeniçağ,65093-2592,10-04-2023,3 + 1,150 m2,2. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Kuzey, Güney",,Doğalgaz,,2.310.000 TL,,,
2176,Ankara,Çankaya,Harbiye,25058-802,14-03-2023,3 + 1,120 m2,Kot 1,25 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Doğu,7.000 TL,Doğalgaz,Evet,2.250.000 TL,1.200 TL,,
2177,Ankara,Mamak,Mehtap,91066-1006,10-04-2023,3 + 1,115 m2,Yüksek Giriş,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Doğu,3.500 TL,Doğalgaz,Evet,1.050.000 TL,30 TL,,
2178,Ankara,Çankaya,Koru,47238-1932,04-04-2023,4 + 1,180 m2,2. Kat,25 Yaşında,Merkezi,5 Katlı,Uygun,,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Batı,,,Evet,4.750.000 TL,1.150 TL,,
2179,Ankara,Polatlı,Zafer,68444-61,06-04-2023,3 + 1,145 m2,Yüksek Giriş,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Ahşap,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,"Kuzey, Güney",,Doğalgaz,Evet,850.000 TL,,,
2180,Ankara,Çankaya,Cevizlidere,90214-296,24-03-2023,3 + 1,140 m2,1. Kat,Sıfır Bina,Kombi,6 Katlı,Uygun değil,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,Hayır,Doğu,,,,3.750.000 TL,200 TL,Evet (Site Adı Belirtilmemiş),
2181,Ankara,Çankaya,Dodurga,14070-640,25-03-2023,4 + 1,220 m2,5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),18 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,Hayır,,10.000 TL,,Evet,4.900.000 TL,,lion 114,
2182,Ankara,Çankaya,Şehit Cevdet Özdemir,13407-4252,10-03-2023,3 + 1,105 m2,Giriş Katı,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,Kat Mülkiyeti,Hayır,"Kuzey, Doğu",2.000 TL,Doğalgaz,Evet,1.300.000 TL,50 TL,,
2183,Ankara,Yenimahalle,Demetgül,96259-421,13-04-2023,3 + 1,135 m2,2. Kat,35 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Batı",6.000 TL,Doğalgaz,Evet,1.520.000 TL,50 TL,,
2184,Ankara,Çankaya,İlkadım,3218-2073,31-03-2023,2 + 1,80 m2,1. Kat,50 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Doğu,2.000 TL,Doğalgaz,,1.350.000 TL,40 TL,,
2185,Ankara,Pursaklar,Fatih,66647-1071,05-04-2023,3 + 1,155 m2,2. Kat,5 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,Kat Mülkiyeti,Hayır,Güney,,,,2.200.000 TL,,Evet (Site Adı Belirtilmemiş),
2186,Ankara,Çankaya,İlker,3620-9564,10-04-2023,3 + 1,110 m2,Kot 1,16 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,Evet,"Doğu, Batı",,,,1.300.000 TL,60 TL,,
2187,Ankara,Sincan,Andiçen,132440-192,11-04-2023,3 + 1,125 m2,1. Kat,21 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",,,,1.049.000 TL,,,
2188,Ankara,Etimesgut,Ahi Mesut,114071-358,11-04-2023,4 + 1,180 m2,5. Kat,5 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,,,Kiracılı,Kat Mülkiyeti,Hayır,,,,,4.150.000 TL,1.8 TL,Bahçen Elvanşehir Konutları,
2189,Ankara,Keçiören,Kafkas,131302-448,10-04-2023,3 + 1,130 m2,1. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,,,,1.599.000 TL,,,
2190,Ankara,Keçiören,Ufuktepe,131726-74,09-04-2023,2 + 1,110 m2,Giriş Katı,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,Evet,"Güney, Doğu, Batı",,,,989.000 TL,100 TL,,
2191,Ankara,Çankaya,Seyranbağları,10580-5695,13-04-2023,3 + 1,110 m2,Bahçe Katı,30 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracılı,,Hayır,,7.500 TL,Doğalgaz,Evet,1.195.000 TL,50 TL,,
2192,Ankara,Sincan,Atatürk,132017-200,10-04-2023,3 + 1,145 m2,Yüksek Giriş,Sıfır Bina,Kombi,4 Katlı,Uygun,,1,,,Boş,Kat Mülkiyeti,,"Güney, Doğu",,,,1.580.000 TL,,,
2193,Ankara,Sincan,Plevne,136660-105,09-04-2023,3 + 1,140 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,Sıfır,Boş,Kat Mülkiyeti,Hayır,"Güney, Batı",,Doğalgaz,,2.250.000 TL,40 TL,,
2194,Ankara,Keçiören,Tepebaşı,14431-10435,07-04-2023,3 + 1,130 m2,2. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Doğu, Batı",,Doğalgaz,Evet,1.550.000 TL,,,
2195,Ankara,Keçiören,Ufuktepe,130224-367,07-04-2023,3 + 1,140 m2,3. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Hayır,"Güney, Batı",9.000 TL,Doğalgaz,Evet,1.589.000 TL,50 TL,,
2196,Ankara,Keçiören,Pınarbaşı,136607-14,06-04-2023,3 + 1,135 m2,Kot 1,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Kuzey, Batı",7.000 TL,Doğalgaz,Evet,1.375.000 TL,70 TL,,
2197,Ankara,Keçiören,Ufuktepe,132044-99,02-04-2023,7 + 1,250 m2,En Üst Kat,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,2.500.000 TL,,,
2198,Ankara,Keçiören,Atapark,135557-133,01-04-2023,3 + 1,130 m2,2. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Evet,"Güney, Doğu",8.000 TL,Doğalgaz,Evet,1.780.000 TL,50 TL,,
2199,Ankara,Kahramankazan,Peçenek,133096-135,01-04-2023,3 + 1,160 m2,,8 Yaşında,Kat Kaloriferi,3 Katlı,Uygun,Eşyalı,1,,,Boş,Arsa,,"Kuzey, Güney, Doğu, Batı",,,Evet,3.050.000 TL,,,
2200,Ankara,Çankaya,Yaşamkent,129574-150,03-04-2023,1 + 1,45 m2,1. Kat,1 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Hayır,Güney,11.500 TL,Doğalgaz,Evet,1.950.000 TL,400 TL,,
2201,Ankara,Etimesgut,Elvan,123025-81,30-03-2023,3 + 1,130 m2,En Üst Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu",,Doğalgaz,Evet,1.749.000 TL,,,
2202,Ankara,Pursaklar,Merkez,129895-151,27-03-2023,4 + 1,180 m2,1. Kat,7 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,10.000 TL,Doğalgaz,,2.190.000 TL,,Evet (Site Adı Belirtilmemiş),
2203,Ankara,Keçiören,Kanuni,135290-75,08-04-2023,3 + 1,135 m2,2. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,Hayır,"Doğu, Batı",,,,1.579.000 TL,100 TL,,
2204,Ankara,Gölbaşı,Hacılar,9080-4575,10-04-2023,5 + 2,320 m2,,16 Yaşında,Belirtilmemiş,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,5.350.000 TL,600 TL,,
2205,Ankara,Etimesgut,Süvari,136741-15,22-03-2023,3 + 1,125 m2,Ara Kat,5 Yaşında,Kombi,4 Katlı,Uygun,,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Kuzey, Batı",5.000 TL,Doğalgaz,Evet,1.750.000 TL,50 TL,,
2206,Ankara,Mamak,Kutlu,133310-78,18-03-2023,3 + 1,125 m2,Yüksek Giriş,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,,4.000 TL,Doğalgaz,Evet,1.395.000 TL,75 TL,,
2207,Ankara,Çankaya,Sancak,130309-128,19-03-2023,3 + 1,190 m2,6. Kat,21 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,Evet,"Kuzey, Doğu, Batı",,,,3.800.000 TL,,,
2208,Ankara,Çankaya,Ayrancı,2533-2460,05-04-2023,4 + 1,190 m2,5. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,Hayır,"Güney, Batı",,Doğalgaz,,6.300.000 TL,,,
2209,Ankara,Ayaş,Şeyhmuhittin,132624-105,20-03-2023,4 + 2,240 m2,,Sıfır Bina,Kombi,1 Katlı,Uygun,,2,,Sıfır,Boş,,,,,,Evet,3.500.000 TL,,,
