,District,Neighborhood,Num_Of_Room,Area,Floor,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Usage,Price
75,Sincan,Plevne,3,100.0,interstage,19.0,Kombi,3.0,1.0,0,1.0,Mülk Sahibi,1150000.0
76,Çankaya,Yukarı Bahçelievler,4,160.0,interstage,37.0,Merkezi,3.0,1.0,0,1.0,Boş,3500000.0
77,Mamak,Derbent,3,100.0,interstage,3.0,Kombi,23.0,1.0,0,1.0,Kiracılı,998000.0
78,Çankaya,Şehit Cevdet Özdemir,3,100.0,interstage,25.0,Kombi,2.0,1.0,0,1.0,Boş,1525000.0
79,Çankaya,Keklik Pınarı,4,130.0,interstage,18.0,Merkezi,10.0,1.0,0,2.0,Boş,2480000.0
80,Çankaya,Harbiye,4,130.0,interstage,25.0,Merkezi,3.0,1.0,0,1.0,Boş,2450000.0
81,Çankaya,Harbiye,4,130.0,interstage,25.0,Merkezi,3.0,1.0,0,1.0,Boş,2450000.0
82,Çankaya,Keklik Pınarı,4,130.0,interstage,18.0,Merkezi,10.0,1.0,0,2.0,Boş,2480000.0
83,Çankaya,Huzur,4,135.0,interstage,20.0,Kombi,7.0,1.0,0,2.0,Boş,3650000.0
84,Sincan,Fevzi Çakmak,4,130.0,interstage,0.0,Kombi,4.0,1.0,0,2.0,Boş,1500000.0
85,Yenimahalle,Demetevler,4,125.0,interstage,23.0,Kombi,6.0,1.0,0,1.0,Kiracılı,1750000.0
86,Çankaya,Kocatepe,5,155.0,interstage,40.0,Kombi,8.0,1.0,0,1.0,Boş,3175000.0
88,Çankaya,Aziziye,4,135.0,interstage,32.0,Kombi,3.0,1.0,0,1.0,Boş,3475000.0
89,Çankaya,Kırkkonaklar,4,165.0,interstage,4.0,Kombi,5.0,1.0,1,1.0,Boş,2750000.0
90,Etimesgut,Bağlıca,5,190.0,interstage,6.0,Merkezi (Pay Ölçer),10.0,1.0,0,2.0,Mülk Sahibi,4050000.0
91,Mamak,Bahçelerüstü,4,120.0,interstage,9.0,Kombi,3.0,1.0,0,1.0,Mülk Sahibi,1460000.0
92,Keçiören,Ovacık,5,190.0,interstage,2.0,Merkezi (Pay Ölçer),16.0,1.0,1,2.0,Mülk Sahibi,4000000.0
93,Çankaya,Güzeltepe,4,110.0,interstage,37.0,Merkezi,8.0,1.0,0,1.0,Kiracılı,3200000.0
94,Yenimahalle,Güzelyaka,5,155.0,interstage,0.0,Merkezi,9.0,1.0,0,2.0,Boş,2199000.0
95,Çankaya,Remzi Oğuz Arık,3,100.0,interstage,45.0,Merkezi,6.0,1.0,0,1.0,Boş,2800000.0
96,Çankaya,Alacaatlı,6,235.0,interstage,0.0,Yerden Isıtma,30.0,0.0,0,3.0,Boş,8430000.0
97,Çankaya,Aydınlar,4,145.0,interstage,26.0,Kombi,2.0,1.0,0,2.0,Boş,2975000.0
98,Çankaya,Karapınar,4,155.0,interstage,18.0,Kombi,4.0,1.0,0,2.0,Boş,2475000.0
99,Çankaya,İlkadım,4,130.0,interstage,27.0,Kombi,3.0,1.0,0,1.0,Boş,2650000.0
100,Çankaya,Bağcılar,2,103.0,interstage,17.0,Merkezi (Pay Ölçer),6.0,1.0,0,1.0,Kiracılı,3575000.0
101,Mamak,Abidinpaşa,3,105.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Boş,839000.0
102,Çankaya,Harbiye,4,145.0,interstage,30.0,Merkezi,3.0,1.0,0,1.0,Boş,3275000.0
103,Çankaya,Naci Çakır,4,125.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1779000.0
104,Çankaya,İlkadım,3,115.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1750000.0
105,Çankaya,İlkadım,3,110.0,interstage,22.0,Merkezi,14.0,1.0,0,1.0,Kiracılı,2600000.0
106,Çankaya,Naci Çakır,4,125.0,interstage,25.0,Kombi,2.0,1.0,0,1.0,Kiracılı,1800000.0
107,Etimesgut,Turkuaz,4,153.0,interstage,0.0,Merkezi (Pay Ölçer),16.0,1.0,0,1.0,Boş,3850000.0
108,Sincan,Mareşal Çakmak,4,130.0,interstage,16.0,Kombi,4.0,1.0,0,2.0,Boş,1289000.0
109,Sincan,Selçuklu,3,90.0,interstage,21.0,Kombi,4.0,1.0,0,1.0,Kiracılı,719000.0
110,Çankaya,Mürsel Uluç,6,230.0,interstage,25.0,Kombi,2.0,1.0,0,2.0,Kiracılı,2600000.0
111,Etimesgut,Göksu,5,190.0,interstage,10.0,Merkezi (Pay Ölçer),29.0,1.0,0,2.0,Kiracılı,6250000.0
112,Çankaya,Seyranbağları,4,115.0,interstage,35.0,Kombi,3.0,1.0,0,1.0,Mülk Sahibi,2190000.0
113,Mamak,Peyami Safa,4,135.0,interstage,15.0,Kombi,3.0,1.0,0,1.0,Kiracılı,855000.0
114,Keçiören,Aşağı Eğlence,4,170.0,interstage,18.0,Merkezi (Pay Ölçer),7.0,1.0,0,1.0,Boş,3699000.0
115,Keçiören,Ayvalı,4,155.0,interstage,18.0,Yerden Isıtma,4.0,1.0,0,2.0,Boş,2689000.0
116,Çankaya,Naci Çakır,4,125.0,interstage,29.0,Kombi,2.0,1.0,0,1.0,Boş,2560000.0
117,Pursaklar,Mimar Sinan,5,190.0,interstage,4.0,Yerden Isıtma,8.0,1.0,0,2.0,Boş,2590000.0
118,Mamak,Çağlayan,4,125.0,interstage,15.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1300000.0
119,Etimesgut,Göksu,5,190.0,interstage,0.0,Merkezi (Pay Ölçer),15.0,1.0,0,2.0,Boş,4150000.0
120,Keçiören,Atapark,8,230.0,interstage,7.0,Kombi,3.0,1.0,0,2.0,Boş,1570000.0
121,Keçiören,Ovacık,5,270.0,interstage,2.0,Merkezi (Pay Ölçer),25.0,1.0,0,2.0,Mülk Sahibi,6099000.0
122,Çankaya,Şehit Cevdet Özdemir,4,135.0,interstage,19.0,Kombi,3.0,1.0,0,2.0,Boş,3690000.0
123,Çankaya,Karapınar,4,140.0,interstage,16.0,Kombi,4.0,1.0,0,2.0,Boş,3620000.0
124,Çankaya,Huzur,4,130.0,interstage,25.0,Merkezi,8.0,1.0,0,1.0,Boş,3475000.0
125,Çankaya,Malazgirt,4,175.0,interstage,22.0,Kombi,3.0,1.0,0,1.0,Boş,3350000.0
126,Çankaya,İlkadım,4,125.0,interstage,30.0,Merkezi,3.0,1.0,0,1.0,Boş,3250000.0
127,Çankaya,Harbiye,4,130.0,interstage,23.0,Merkezi,3.0,1.0,0,1.0,Boş,2720000.0
128,Çankaya,İlkadım,2,95.0,interstage,24.0,Kombi,3.0,1.0,1,1.0,Boş,1320000.0
129,Çankaya,Alacaatlı,7,396.0,interstage,0.0,Yerden Isıtma,30.0,1.0,0,4.0,Boş,16650000.0
130,Etimesgut,Atakent,4,145.0,interstage,25.0,Merkezi,14.0,1.0,0,1.0,Kiracılı,2300000.0
131,Çankaya,Naci Çakır,4,125.0,interstage,22.0,Kombi,2.0,1.0,0,1.0,Mülk Sahibi,2300000.0
132,Çankaya,Naci Çakır,4,120.0,interstage,28.0,Kombi,2.0,1.0,0,1.0,Kiracılı,1490000.0
133,Çankaya,Yaşamkent,4,230.0,interstage,12.0,Kombi,10.0,1.0,0,2.0,Mülk Sahibi,5500000.0
134,Keçiören,Yükseltepe,5,190.0,interstage,3.0,Kombi,17.0,1.0,0,2.0,Boş,3275000.0
135,Çankaya,İlkadım,4,135.0,interstage,25.0,Kombi,2.0,1.0,0,1.0,Boş,2560000.0
136,Çankaya,Osman Temiz,5,220.0,interstage,25.0,Kombi,2.0,1.0,1,2.0,Mülk Sahibi,3250000.0
137,Çankaya,Sokullu Mehmet Paşa,6,260.0,interstage,26.0,Kombi,3.0,1.0,0,3.0,Boş,3495000.0
138,Keçiören,Ayvalı,4,130.0,interstage,11.0,Kombi,3.0,1.0,0,1.0,Mülk Sahibi,2250000.0
139,Keçiören,Aşağı Eğlence,4,136.0,interstage,21.0,Kombi,3.0,1.0,0,1.0,Boş,2100000.0
140,Pursaklar,Merkez,5,200.0,interstage,4.0,Merkezi (Pay Ölçer),9.0,1.0,0,2.0,Kiracılı,2250000.0
141,Keçiören,Atapark,3,115.0,interstage,15.0,Kombi,3.0,1.0,0,1.0,Boş,795000.0
142,Gölbaşı,Gaziosmanpaşa,4,135.0,interstage,6.0,Kombi,4.0,1.0,0,1.0,Boş,1850000.0
143,Keçiören,Ayvalı,4,125.0,interstage,16.0,Kombi,3.0,1.0,1,1.0,Kiracılı,1748000.0
144,Mamak,Şirintepe,3,75.0,interstage,10.0,Kombi,6.0,1.0,0,1.0,Boş,1028000.0
145,Altındağ,Baraj,5,172.0,interstage,4.0,Merkezi (Pay Ölçer),8.0,0.0,0,2.0,Mülk Sahibi,2600000.0
146,Keçiören,Etlik,4,130.0,interstage,15.0,Merkezi (Pay Ölçer),2.0,1.0,0,1.0,Boş,2015000.0
147,Etimesgut,Bağlıca,5,220.0,interstage,9.0,Merkezi (Pay Ölçer),7.0,1.0,0,2.0,Kiracılı,4900000.0
148,Yenimahalle,Pamuklar,4,165.0,interstage,6.0,Merkezi (Pay Ölçer),11.0,1.0,0,2.0,Kiracılı,3179000.0
149,Çankaya,Oran,4,110.0,interstage,45.0,Kombi,4.0,1.0,0,1.0,Boş,4200000.0
150,Etimesgut,Bağlıca,5,175.0,interstage,11.0,Merkezi (Pay Ölçer),13.0,1.0,0,2.0,Kiracılı,3649000.0
151,Etimesgut,Bağlıca,5,180.0,interstage,7.0,Kombi,7.0,1.0,0,2.0,Kiracılı,3549000.0
152,Çankaya,Emek,3,90.0,interstage,6.0,Kombi,3.0,1.0,0,1.0,Kiracılı,3350000.0
153,Çankaya,Metin Akkuş,4,130.0,interstage,30.0,Kombi,2.0,1.0,0,1.0,Boş,2695000.0
154,Çankaya,Aydınlar,3,125.0,interstage,25.0,Kombi,2.0,1.0,0,1.0,Boş,2290000.0
155,Çankaya,Huzur,4,130.0,interstage,23.0,Kombi,3.0,1.0,0,1.0,Boş,2580000.0
156,Çankaya,Şehit Cengiz Karaca,4,130.0,interstage,25.0,Kombi,8.0,1.0,0,1.0,Boş,2450000.0
157,Çankaya,Akpınar,4,140.0,interstage,25.0,Merkezi,6.0,1.0,0,1.0,Boş,2625000.0
158,Çankaya,Ata,4,140.0,interstage,13.0,Kombi,4.0,1.0,0,1.0,Boş,3100000.0
