,District,Neighborhood,Num_Of_Room,Area,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Metro_Station,Bus_Stop,Minibus_Stop,Hospital,Emergency_Service,University,Shopping_Mall,Floor,Price
7818,Sincan,Tandoğan,4,120.0,13.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.7,0.321,1.4,1.5,1.5,10.5,2.0,Yüksek Giriş,1159000.0
7819,Altındağ,Karapürçek,4,135.0,5.0,Kombi,5.0,Uygun değil,Eşyalı Değil,2.0,8.5,0.335,2.1,7.3,7.7,10.8,7.4,Kot 1,1168000.0
7820,Mamak,Yeşilbayır,3,90.0,6.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,7.5,0.147,2.0,1.0,4.6,8.5,1.3,Kot 1,768000.0
7821,Mamak,Mehtap,3,100.0,11.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.8,0.335,2.6,0.94,0.938,3.4,4.1,Yüksek Giriş,935000.0
7822,Pursaklar,Merkez,4,130.0,6.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,5.0,0.083,0.884,0.908,0.788,7.8,5.1,Yüksek Giriş,1639000.0
7823,Mamak,Fahri Korutürk,4,125.0,5.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,5.2,0.078,1.3,2.3,2.3,5.8,1.7,2. Kat,1375000.0
7824,Etimesgut,30 Ağustos,3,100.0,15.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,4.3,0.067,4.0,1.5,1.5,3.3,0.941,Yüksek Giriş,900000.0
7825,Mamak,Şahintepe,4,130.0,10.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,4.0,0.069,0.796,1.2,1.2,4.9,2.6,Yüksek Giriş,1299000.0
7826,Keçiören,Yeşiltepe,4,140.0,16.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.4,0.076,1.9,1.9,1.9,4.5,2.0,1. Kat,1750000.0
7827,Keçiören,Esertepe,4,132.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.7,0.044,1.2,0.312,0.312,1.8,1.9,1. Kat,1969000.0
7828,Sincan,Mustafa Kemal,4,145.0,0.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,3.5,0.169,6.7,3.5,5.8,15.5,1.3,2. Kat,1769000.0
7829,Mamak,Balkiraz,4,115.0,31.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.3,0.02,2.3,0.627,0.758,3.0,3.8,2. Kat,1650000.0
7830,Yenimahalle,Işınlar,3,180.0,21.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.543,0.063,3.6,0.586,1.3,1.1,0.826,Yüksek Giriş,1500000.0
7831,Altındağ,Karapürçek,4,140.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,8.1,0.203,2.0,7.0,7.3,10.4,7.1,2. Kat,1320000.0
7832,Keçiören,Aşağı Eğlence,4,130.0,25.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,2.4,0.257,2.1,0.614,0.614,1.3,1.3,3. Kat,1650000.0
7833,Çankaya,Keklik Pınarı,5,340.0,22.0,Merkezi (Pay Ölçer),13.0,Uygun,Eşyalı Değil,4.0,5.9,0.106,1.2,2.3,1.6,2.5,1.8,13. Kat,7950000.0
7834,Çankaya,Seyranbağları,6,270.0,12.0,Kombi,3.0,Uygun,Eşyalı Değil,4.0,0.964,0.049,1.2,0.827,0.837,0.888,1.3,3. Kat,3300000.0
7835,Çankaya,İlkbahar,4,185.0,3.0,Merkezi (Pay Ölçer),42.0,Uygun,Eşyalı Değil,2.0,7.9,0.787,2.0,1.1,1.1,1.5,0.61,21 ve üzeri,5100000.0
7836,Çankaya,Nasuh Akar,4,135.0,16.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.2,0.091,2.6,0.665,0.617,0.837,1.1,3. Kat,2875000.0
7837,Çankaya,Ümit,4,140.0,20.0,Kombi,9.0,Uygun,Eşyalı Değil,2.0,0.988,0.065,4.1,0.865,0.859,4.4,0.102,9. Kat,4800000.0
7838,Çankaya,Birlik,5,180.0,25.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,4.6,0.023,3.4,0.391,0.39,2.5,0.444,2. Kat,4250000.0
7839,Çankaya,Alacaatlı,5,432.0,10.0,Merkezi,2.0,Uygun,Eşyalı Değil,4.0,4.2,0.292,5.8,2.0,2.1,3.9,3.6,2. Kat,16750000.0
7840,Etimesgut,Elvan,4,150.0,11.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,4.0,0.064,2.4,0.948,1.0,4.8,2.2,3. Kat,1630000.0
7841,Altındağ,Karapürçek,4,145.0,10.0,Kombi,3.0,Uygun değil,Eşyalı Değil,1.0,7.8,0.083,2.4,7.3,7.4,10.2,7.1,2. Kat,1549000.0
7842,Pursaklar,Fatih,5,180.0,4.0,Kombi,17.0,Uygun,Eşyalı Değil,2.0,5.2,0.151,1.0,1.3,1.2,8.4,5.5,7. Kat,3350000.0
7843,Etimesgut,Güzelkent,6,165.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,3.0,0.761,0.372,3.1,1.3,0.509,9.1,0.846,Villa Katı,2750000.0
7844,Yenimahalle,Uğur Mumcu,3,90.0,30.0,Merkezi,5.0,Uygun,Eşyalı Değil,1.0,1.5,0.082,2.1,1.4,0.436,1.8,1.1,Giriş Katı,1750000.0
7845,Etimesgut,Şeker,3,90.0,0.0,Merkezi (Pay Ölçer),9.0,Uygun,Eşyalı Değil,2.0,1.3,0.045,4.9,0.502,0.491,3.8,1.6,5. Kat,2650000.0
7846,Çankaya,Alacaatlı,6,235.0,0.0,Yerden Isıtma,30.0,Uygun,Eşyalı Değil,3.0,4.8,0.403,6.4,2.5,2.7,4.3,4.3,20. Kat,10605000.0
7847,Çankaya,Dodurga,4,130.0,15.0,Kombi,10.0,Uygun,Eşyalı Değil,2.0,6.8,0.05,7.4,4.4,4.5,5.7,6.0,6. Kat,2300000.0
7848,Altındağ,Aydınlıkevler,4,150.0,17.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.71,0.092,2.0,0.539,0.538,1.9,1.9,Ara Kat,2700000.0
7849,Yenimahalle,Ergazi,3,100.0,4.0,Merkezi (Pay Ölçer),11.0,Uygun değil,Eşyalı Değil,1.0,1.5,0.151,3.6,0.822,0.836,2.1,1.6,11. Kat,2750000.0
7850,Sincan,Mustafa Kemal,5,180.0,1.0,Merkezi (Pay Ölçer),15.0,Uygun,Eşyalı Değil,2.0,3.6,0.193,6.8,3.8,5.9,15.6,1.6,10. Kat,2849000.0
7851,Keçiören,Kuşcağız,4,130.0,11.0,Kombi,3.0,Uygun değil,Eşyalı Değil,1.0,1.2,0.151,0.639,1.0,0.993,2.2,1.3,Yüksek Giriş,1390000.0
7852,Sincan,Malazgirt,4,120.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.5,0.192,2.1,1.9,1.9,10.9,2.0,3. Kat,1765000.0
7853,Keçiören,Etlik,6,230.0,15.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,2.2,0.075,2.2,0.856,0.856,0.95,0.915,4. Kat,2935000.0
7854,Keçiören,Etlik,5,170.0,16.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,2.4,0.055,2.1,1.0,1.0,0.953,1.0,2. Kat,2550000.0
7855,Gölbaşı,Tulumtaş,7,600.0,5.0,Yerden Isıtma,4.0,Uygun değil,Eşyalı Değil,5.0,12.9,0.818,11.4,6.8,8.9,6.1,7.6,Bahçe Katı,7990000.0
7856,Mamak,Şahap Gürler,4,120.0,13.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,6.6,0.223,2.8,0.482,3.8,7.7,0.421,2. Kat,885000.0
7857,Mamak,Altıağaç,4,130.0,1.0,Kombi,14.0,Uygun,Eşyalı Değil,2.0,3.4,0.068,2.5,1.2,1.1,5.1,3.6,12. Kat,2100000.0
7858,Çankaya,Ata,4,135.0,12.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.9,0.155,0.641,0.894,0.984,2.6,1.6,Kot 1,2400000.0
7859,Mamak,Demirlibahçe,4,100.0,20.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,0.641,0.243,1.8,0.426,0.32,2.3,3.0,Kot 1,870000.0
7860,Keçiören,Adnan Menderes,4,120.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.2,0.089,1.0,0.797,0.81,4.9,2.1,Giriş Katı,1349000.0
7861,Mamak,Dutluk,4,130.0,0.0,Merkezi (Pay Ölçer),7.0,Uygun,Eşyalı Değil,2.0,4.2,0.27,1.9,1.5,1.5,5.4,2.0,4. Kat,1400000.0
7862,Çankaya,Aziziye,4,135.0,36.0,Merkezi,4.0,Uygun,Eşyalı Değil,1.0,3.3,0.079,1.9,1.4,1.4,1.7,0.552,1. Kat,2700000.0
7863,Pursaklar,Mimar Sinan,5,185.0,0.0,Yerden Isıtma,16.0,Uygun,Eşyalı Değil,2.0,6.0,0.186,0.16,0.191,0.136,8.7,6.1,12. Kat,3050000.0
7864,Altındağ,Hacettepe,4,135.0,15.0,Kombi,5.0,Uygun,Eşyalı Değil,1.0,0.83,0.111,1.3,0.313,0.317,1.8,2.8,1. Kat,1450000.0
7865,Çankaya,Gaziosmanpaşa,4,130.0,16.0,Merkezi,15.0,Uygun,Eşyalı Değil,2.0,2.7,0.142,2.8,0.417,0.941,0.616,0.459,15. Kat,7500000.0
7866,Yenimahalle,Özevler,4,120.0,35.0,Kombi,6.0,Uygun değil,Eşyalı Değil,1.0,0.298,0.253,2.2,0.24,0.54,2.3,1.5,6. Kat,860000.0
7867,Çankaya,İlkadım,4,125.0,7.0,Merkezi (Pay Ölçer),10.0,Uygun,Eşyalı Değil,1.0,3.5,0.179,1.2,0.932,0.933,2.2,1.2,Kot 1,4150000.0
7868,Sincan,Selçuklu,3,80.0,11.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.4,0.248,0.895,1.2,1.1,7.6,1.6,Bahçe Katı,570000.0
7869,Mamak,Akşemsettin,5,165.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,5.4,0.144,2.0,1.8,2.5,6.3,1.2,3. Kat,1950000.0
7870,Sincan,Selçuklu,4,105.0,22.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.3,0.168,1.1,0.856,0.823,8.0,1.2,Yüksek Giriş,1049000.0
7871,Keçiören,Güzelyurt,5,145.0,12.0,Merkezi (Pay Ölçer),15.0,Uygun,Eşyalı Değil,2.0,1.6,0.043,1.8,1.7,1.7,4.9,2.5,14. Kat,2250000.0
7872,Pursaklar,Mimar Sinan,5,190.0,0.0,Kombi,13.0,Uygun,Eşyalı Değil,2.0,4.1,0.193,1.7,1.8,0.224,7.0,4.2,En Üst Kat,2990000.0
7873,Çankaya,Harbiye,3,130.0,4.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.1,0.112,1.4,1.3,1.4,2.2,1.6,Kot 2,2300000.0
7874,Mamak,Diriliş,3,85.0,5.0,Merkezi (Pay Ölçer),12.0,Uygun değil,Eşyalı,1.0,2.7,0.318,0.593,2.1,2.2,4.1,3.2,Bahçe Katı,1100000.0
7875,Gölbaşı,Taşpınar,3,85.0,0.0,Kombi,3.0,Uygun değil,Eşyalı Değil,2.0,8.1,0.15,4.3,2.8,2.9,3.7,2.6,1. Kat,2750000.0
7876,Çankaya,Harbiye,6,250.0,16.0,Kombi,3.0,Uygun,Eşyalı Değil,3.0,3.0,0.031,1.5,1.5,1.5,2.2,1.7,3. Kat,3450000.0
7877,Çankaya,Oğuzlar,4,120.0,30.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.3,0.175,2.2,0.333,0.286,0.365,1.1,2. Kat,1950000.0
7878,Sincan,Selçuklu,4,125.0,15.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,3.6,0.134,0.635,1.4,0.793,7.3,1.8,Ara Kat,1429000.0
7879,Keçiören,Tepebaşı,4,125.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,0.86,0.124,1.3,1.2,0.151,2.7,1.4,2. Kat,2250000.0
7880,Etimesgut,Bağlıca,2,70.0,6.0,Merkezi (Pay Ölçer),12.0,Uygun,Eşyalı Değil,1.0,3.6,0.125,6.1,3.4,4.9,1.4,2.7,1. Kat,1750000.0
7881,Keçiören,Atapark,4,135.0,15.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,1.6,0.109,1.6,0.804,0.673,2.4,0.921,1. Kat,1529000.0
7882,Gölbaşı,İncek,5,110.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,8.9,0.409,7.3,3.0,4.9,2.7,3.9,3. Kat,3650000.0
7883,Çankaya,Yukarı Bahçelievler,4,135.0,35.0,Merkezi,3.0,Uygun,Eşyalı Değil,1.0,0.422,0.176,2.2,0.817,0.839,1.4,1.5,2. Kat,3850000.0
7884,Çankaya,Ata,3,100.0,15.0,Kombi,5.0,Uygun,Eşyalı Değil,2.0,3.8,0.087,0.755,0.998,1.1,2.4,1.5,Kot 2,1595000.0
7885,Çankaya,Malazgirt,4,133.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,5.3,0.14,0.938,0.889,0.666,1.5,2.1,1. Kat,3550000.0
7886,Çankaya,Bağcılar,5,215.0,0.0,Merkezi,27.0,Uygun,Eşyalı Değil,2.0,3.6,0.161,2.3,0.828,1.7,2.2,1.8,21 ve üzeri,5400000.0
7887,Çankaya,Birlik,4,175.0,20.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,4.6,0.144,2.8,0.525,0.516,2.4,1.1,2. Kat,3500000.0
7888,Çankaya,Karapınar,4,125.0,18.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,4.4,0.163,0.696,1.8,1.1,3.1,1.9,Yüksek Giriş,1890000.0
7889,Çankaya,Akpınar,5,220.0,11.0,Kombi,4.0,Uygun,Eşyalı Değil,2.0,4.8,0.208,0.724,2.0,1.2,3.0,2.3,4. Kat,3645000.0
7890,Çankaya,Aziziye,2,70.0,4.0,Merkezi (Pay Ölçer),5.0,Uygun,Eşyalı,1.0,2.5,0.266,2.8,0.567,1.1,0.607,0.962,4. Kat,2990000.0
7891,Etimesgut,Kazım Karabekir,3,90.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.8,0.068,4.3,1.1,1.1,3.0,0.624,2. Kat,2190000.0
7892,Mamak,Türközü,4,145.0,5.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,2.6,0.05,1.8,1.7,1.7,2.8,2.6,Yüksek Giriş,1770000.0
